SRS,host_subject_id
SRS1719087,P018832
SRS1719088,P017743
SRS1719089,P000648
SRS1719090,T022883
SRS1719091,T012374
SRS1719092,T016811
SRS1719093,T017394
SRS1719094,T007750
SRS1719095,T003950
SRS1719096,T004341
SRS1719097,T012374
SRS1719098,T012977
SRS1719099,T017419
SRS1719100,P015091
SRS1719101,T016811
SRS1719102,T008246
SRS1719103,T008025
SRS1719104,T017394
SRS1719105,E016444
SRS1719106,E007303
SRS1719107,E007303
SRS1719108,E030828
SRS1719109,E030828
SRS1719110,E016870
SRS1719111,P006862
SRS1719112,E016444
SRS1719113,T028183
SRS1719114,T019853
SRS1719115,T010532
SRS1719116,T020231
SRS1719117,E019160
SRS1719118,E008437
SRS1719119,E008643
SRS1719120,E011459
SRS1719121,E011459
SRS1719122,P006862
SRS1719123,P016497
SRS1719124,P005558
SRS1719125,P013701
SRS1719126,P017671
SRS1719127,P001307
SRS1719128,P004230
SRS1719129,P004230
SRS1719130,P014839
SRS1719131,P015091
SRS1719132,P001307
SRS1719133,P003558
SRS1719134,P021772
SRS1719135,P013960
SRS1719136,P004113
SRS1719137,P004113
SRS1719138,P022384
SRS1719139,T019853
SRS1719140,T009280
SRS1719141,T021076
SRS1719142,T012121
SRS1719143,P014713
SRS1719144,P003558
SRS1719145,P009219
SRS1719146,P003435
SRS1719147,P013701
SRS1719148,P004230
SRS1719149,P001363
SRS1719150,P016803
SRS1719151,P018832
SRS1719152,P020604
SRS1719153,P021343
SRS1719154,P021343
SRS1719155,P003558
SRS1719156,P022384
SRS1719157,E024240
SRS1719158,E024240
SRS1719159,E025912
SRS1719160,T014801
SRS1719161,T005999
SRS1719162,T013431
SRS1719163,E002473
SRS1719164,E004934
SRS1719165,E025921
SRS1719166,P013960
SRS1719167,E017049
SRS1719168,E017049
SRS1719169,E032745
SRS1719170,E007743
SRS1719171,E007743
SRS1719172,E018574
SRS1719173,E031941
SRS1719174,E019160
SRS1719175,T028029
SRS1719176,T023909
SRS1719177,T000094
SRS1719178,T023909
SRS1719179,T022883
SRS1719180,T012374
SRS1719181,T019031
SRS1719182,T019031
SRS1719183,E022083
SRS1719184,E019187
SRS1719185,E019160
SRS1719186,E018421
SRS1719187,T000094
SRS1719188,T012312
SRS1719189,T011676
SRS1719190,E017049
SRS1719191,E017049
SRS1719192,E030933
SRS1719193,E029310
SRS1719194,E030933
SRS1719195,E025921
SRS1719196,E025921
SRS1719197,E029796
SRS1719198,E017715
SRS1719199,P011108
SRS1719200,T022883
SRS1719201,E017049
SRS1719202,T009909
SRS1719203,E012393
SRS1719204,E023535
SRS1719205,E024646
SRS1719206,T010532
SRS1719207,E025671
SRS1719208,E025912
SRS1719209,E025912
SRS1719210,E026343
SRS1719211,T012389
SRS1719212,E014953
SRS1719213,E015208
SRS1719214,T025415
SRS1719215,E032745
SRS1719216,E018574
SRS1719217,E019160
SRS1719218,E018574
SRS1719219,T026211
SRS1719220,T005507
SRS1719221,E034885
SRS1719222,E020808
SRS1719223,P005558
SRS1719224,P023918
SRS1719225,P005279
SRS1719226,P023918
SRS1719227,P022222
SRS1719228,P026562
SRS1719229,P017255
SRS1719230,P017255
SRS1719231,P010313
SRS1719232,E009667
SRS1719233,P015163
SRS1719234,P020604
SRS1719235,P020604
SRS1719236,E030933
SRS1719237,P009291
SRS1719238,E032745
SRS1719239,E007303
SRS1719240,E030828
SRS1719241,E007743
SRS1719242,E007743
SRS1719243,E009667
SRS1719244,P000756
SRS1719245,P005342
SRS1719246,P026562
SRS1719247,P026562
SRS1719248,T014827
SRS1719249,T011454
SRS1719250,T014800
SRS1719251,T014575
SRS1719252,T012138
SRS1719253,T012138
SRS1719254,T020231
SRS1719255,T011676
SRS1719256,P015163
SRS1719257,E011183
SRS1719258,P015163
SRS1719259,E012115
SRS1719260,E011183
SRS1719261,E013394
SRS1719262,E022960
SRS1719263,E020682
SRS1719264,E011183
